sep=,
timestamp,stage,status,execution_time_sec,parameters,message
2026-07-29 18:05:27,training,success,54.7468,"{""processed_root"": ""python/dataset/processed"", ""target_fs"": ""16000"", ""conv_layers"": ""2"", ""conv_channels"": ""16,32"", ""lstm_layers"": ""1"", ""lstm_hidden"": ""128"", ""delay_m"": ""0"", ""epochs"": ""2"", ""batch_size"": ""1"", ""learning_rate"": ""0.001"", ""optimizer"": ""AMSGrad""}",Training completed. Best epoch: 2. Best validation loss: 0.01752310. Best validation NMSE: -1.96 dB.
2026-07-29 18:17:59,validation,success,2.6178,"{""checkpoint_path"": ""python/dataset/processed\\checkpoints\\best.pt"", ""processed_root"": ""python/dataset/processed""}",Validation completed. ANC ON loss: 0.01752310. ANC OFF loss: 0.02750241. NMSE: -1.96 dB.
2026-07-30 17:20:24,training,success,46.71,"{""processed_root"": ""dataset/processed"", ""target_fs"": ""16000"", ""conv_layers"": ""2"", ""conv_channels"": ""16,32"", ""lstm_layers"": ""1"", ""lstm_hidden"": ""128"", ""delay_m"": ""0"", ""epochs"": ""2"", ""batch_size"": ""1"", ""learning_rate"": ""0.001"", ""optimizer"": ""AMSGrad""}",Training completed. Best epoch: 2. Best validation loss: 0.01777918. Best validation NMSE: -1.89 dB.
2026-08-01 18:53:53,preprocessing,success,1.98,"{""target_fs"": 16000, ""crop_sec"": 10.0, ""total_files"": 110}",Preprocessing completed. Processed 110/110 files. Skipped 0 files.
2026-08-01 19:08:22,training,success,293.40,"{""processed_root"": ""C:/Users/Panos/OneDrive/Documents/University/ANC-with-NN/dataset/selection_processed"", ""target_fs"": ""16000"", ""conv_layers"": ""3"", ""conv_channels"": ""8,16,32"", ""lstm_layers"": ""2"", ""lstm_hidden"": ""256"", ""delay_m"": ""0"", ""epochs"": ""3"", ""batch_size"": ""1"", ""learning_rate"": ""0.0003"", ""optimizer"": ""AMSGrad""}",Training completed. Best epoch: 3. Best validation loss: 0.01670688. Best validation NMSE: -1.74 dB.
2026-08-01 20:00:29,training,error,2873.65,"{""processed_root"": ""C:/Users/Panos/OneDrive/Documents/University/ANC-with-NN/dataset/selection_processed"", ""target_fs"": ""16000"", ""conv_layers"": ""3"", ""conv_channels"": ""8,16,32"", ""lstm_layers"": ""2"", ""lstm_hidden"": ""256"", ""delay_m"": ""0"", ""epochs"": ""100"", ""batch_size"": ""1"", ""learning_rate"": ""0.0003"", ""optimizer"": ""AMSGrad""}",[enforce fail at inline_container.cc:745] . open file failed with error code: 32
2026-08-01 23:34:41,training,success,12253.77,"{""processed_root"": ""C:/Users/Panos/OneDrive/Documents/University/ANC-with-NN/dataset/selection_processed"", ""target_fs"": ""16000"", ""conv_layers"": ""3"", ""conv_channels"": ""8,16,32"", ""lstm_layers"": ""2"", ""lstm_hidden"": ""256"", ""delay_m"": ""0"", ""epochs"": ""100"", ""batch_size"": ""1"", ""learning_rate"": ""0.0003"", ""optimizer"": ""AMSGrad""}",Training completed. Best epoch: 100. Best validation loss: 0.00233156. Best validation NMSE: -10.30 dB.
2026-08-02 19:18:43,training,success,1630.27,"{""processed_root"": ""C:/Users/Panos/OneDrive/Documents/University/ANC-with-NN/dataset/selection_processed"", ""target_fs"": ""16000"", ""conv_layers"": ""3"", ""conv_channels"": ""8,16,32"", ""lstm_layers"": ""2"", ""lstm_hidden"": ""256"", ""delay_m"": ""0"", ""epochs"": ""20"", ""batch_size"": ""1"", ""learning_rate"": ""0.0003"", ""optimizer"": ""AMSGrad""}",Training completed. Best epoch: 20. Best validation loss: 0.01864098. Best validation NMSE: -3.26 dB.
2026-08-05 18:27:42,preprocessing,success,2.11,"{""target_fs"": 16000, ""crop_sec"": 10.0, ""total_files"": 30}",Preprocessing completed. Processed 30/30 files. Skipped 0 files.
2026-08-05 18:28:15,preprocessing,success,0.34,"{""target_fs"": 16000, ""crop_sec"": 10.0, ""total_files"": 130}",Preprocessing completed. Processed 130/130 files. Skipped 0 files.
2026-08-05 20:58:04,preprocessing,success,2.17,"{""target_fs"": 16000, ""crop_sec"": 10.0, ""total_files"": 130}",Preprocessing completed. Processed 130/130 files. Skipped 0 files.
2026-08-05 21:02:33,preprocessing,success,2.11,"{""target_fs"": 16000, ""crop_sec"": 10.0, ""total_files"": 130}",Preprocessing completed. Processed 130/130 files. Skipped 0 files.
2026-08-06 00:34:36,training,success,12696.61,"{""processed_root"": ""dataset/selection_processed"", ""target_fs"": ""16000"", ""conv_layers"": ""3"", ""conv_channels"": ""8,16,32"", ""lstm_layers"": ""2"", ""lstm_hidden"": ""256"", ""delay_m"": ""0"", ""epochs"": ""100"", ""batch_size"": ""1"", ""learning_rate"": ""0.0003"", ""optimizer"": ""AMSGrad""}",Training completed. Best epoch: 100. Best validation loss: 0.00227476. Best validation NMSE: -9.73 dB.
2026-08-06 19:30:53,training,success,3573.05,"{""processed_root"": ""dataset/selection_processed"", ""target_fs"": ""16000"", ""conv_layers"": ""3"", ""conv_channels"": ""8,16,32"", ""lstm_layers"": ""2"", ""lstm_hidden"": ""256"", ""delay_m"": ""0"", ""epochs"": ""20"", ""batch_size"": ""1"", ""learning_rate"": ""0.0003"", ""optimizer"": ""AMSGrad""}",Training completed. Best epoch: 20. Best validation loss: 0.00492888. Best validation NMSE: -6.37 dB.
