sep=,
epoch,training_loss,training_anc_loss,training_silence_loss,training_weighted_silence_loss,training_frequency_loss,training_weighted_frequency_loss,validation_loss,validation_anc_off_loss,validation_nmse_db
1,0.10359191,0.10359191,0.00000000,0.00000000,0.00000000,0.00000000,0.07634580,0.19251503,-4.02
2,0.06040448,0.06040448,0.00000000,0.00000000,0.00000000,0.00000000,0.06108477,0.19251503,-4.99
3,0.04614767,0.04614767,0.00000000,0.00000000,0.00000000,0.00000000,0.05408016,0.19251503,-5.51
4,0.03750389,0.03750389,0.00000000,0.00000000,0.00000000,0.00000000,0.04566842,0.19251503,-6.25
5,0.03258558,0.03258558,0.00000000,0.00000000,0.00000000,0.00000000,0.04322719,0.19251503,-6.49
6,0.02903628,0.02903628,0.00000000,0.00000000,0.00000000,0.00000000,0.03789851,0.19251503,-7.06
7,0.02609393,0.02609393,0.00000000,0.00000000,0.00000000,0.00000000,0.03373425,0.19251503,-7.56
8,0.02563936,0.02563936,0.00000000,0.00000000,0.00000000,0.00000000,0.03334262,0.19251503,-7.61
9,0.02337307,0.02337307,0.00000000,0.00000000,0.00000000,0.00000000,0.03318107,0.19251503,-7.64
10,0.02264324,0.02264324,0.00000000,0.00000000,0.00000000,0.00000000,0.04806018,0.19251503,-6.03
11,0.02164293,0.02164293,0.00000000,0.00000000,0.00000000,0.00000000,0.03016706,0.19251503,-8.05
12,0.02109151,0.02109151,0.00000000,0.00000000,0.00000000,0.00000000,0.03010879,0.19251503,-8.06
13,0.01995716,0.01995716,0.00000000,0.00000000,0.00000000,0.00000000,0.03694776,0.19251503,-7.17
14,0.01902098,0.01902098,0.00000000,0.00000000,0.00000000,0.00000000,0.02862860,0.19251503,-8.28
15,0.01892965,0.01892965,0.00000000,0.00000000,0.00000000,0.00000000,0.02757914,0.19251503,-8.44
16,0.01740667,0.01740667,0.00000000,0.00000000,0.00000000,0.00000000,0.02823723,0.19251503,-8.34
17,0.01673051,0.01673051,0.00000000,0.00000000,0.00000000,0.00000000,0.02692814,0.19251503,-8.54
18,0.01692774,0.01692774,0.00000000,0.00000000,0.00000000,0.00000000,0.02533266,0.19251503,-8.81
19,0.01525108,0.01525108,0.00000000,0.00000000,0.00000000,0.00000000,0.03335254,0.19251503,-7.61
20,0.01501228,0.01501228,0.00000000,0.00000000,0.00000000,0.00000000,0.02759718,0.19251503,-8.44
21,0.01638431,0.01638431,0.00000000,0.00000000,0.00000000,0.00000000,0.02466814,0.19251503,-8.92
22,0.01528828,0.01528828,0.00000000,0.00000000,0.00000000,0.00000000,0.02267159,0.19251503,-9.29
23,0.01354659,0.01354659,0.00000000,0.00000000,0.00000000,0.00000000,0.02228907,0.19251503,-9.36
24,0.01377171,0.01377171,0.00000000,0.00000000,0.00000000,0.00000000,0.02201059,0.19251503,-9.42
25,0.01745471,0.01745471,0.00000000,0.00000000,0.00000000,0.00000000,0.02894803,0.19251503,-8.23
26,0.01518583,0.01518583,0.00000000,0.00000000,0.00000000,0.00000000,0.02542735,0.19251503,-8.79
27,0.01342239,0.01342239,0.00000000,0.00000000,0.00000000,0.00000000,0.02228941,0.19251503,-9.36
28,0.01338402,0.01338402,0.00000000,0.00000000,0.00000000,0.00000000,0.02078916,0.19251503,-9.67
29,0.01255135,0.01255135,0.00000000,0.00000000,0.00000000,0.00000000,0.02042093,0.19251503,-9.74
30,0.01227710,0.01227710,0.00000000,0.00000000,0.00000000,0.00000000,0.02050312,0.19251503,-9.73
31,0.01191276,0.01191276,0.00000000,0.00000000,0.00000000,0.00000000,0.02005565,0.19251503,-9.82
32,0.01171115,0.01171115,0.00000000,0.00000000,0.00000000,0.00000000,0.02306025,0.19251503,-9.22
33,0.01188074,0.01188074,0.00000000,0.00000000,0.00000000,0.00000000,0.02059821,0.19251503,-9.71
34,0.01073074,0.01073074,0.00000000,0.00000000,0.00000000,0.00000000,0.03566842,0.19251503,-7.32
35,0.01011952,0.01011952,0.00000000,0.00000000,0.00000000,0.00000000,0.02229246,0.19251503,-9.36
36,0.01077184,0.01077184,0.00000000,0.00000000,0.00000000,0.00000000,0.01998019,0.19251503,-9.84
