sep=,
epoch,training_loss,training_anc_loss,training_silence_loss,training_weighted_silence_loss,training_frequency_loss,training_weighted_frequency_loss,validation_loss,validation_anc_off_loss,validation_nmse_db
1,0.10513218,0.10462523,0.00050695,0.00050695,0.00000000,0.00000000,0.07913759,0.19251503,-3.86
2,0.06243363,0.06202105,0.00041258,0.00041258,0.00000000,0.00000000,0.06169785,0.19251503,-4.95
3,0.04798949,0.04787172,0.00011777,0.00011777,0.00000000,0.00000000,0.05645759,0.19251503,-5.33
4,0.03996344,0.03973065,0.00023279,0.00023279,0.00000000,0.00000000,0.04953956,0.19251503,-5.91
5,0.03555642,0.03545205,0.00010436,0.00010436,0.00000000,0.00000000,0.04587500,0.19251503,-6.25
6,0.03214978,0.03167805,0.00047172,0.00047172,0.00000000,0.00000000,0.04270867,0.19251503,-6.56
7,0.02853502,0.02846441,0.00007061,0.00007061,0.00000000,0.00000000,0.03725328,0.19251503,-7.15
8,0.02747454,0.02728910,0.00018544,0.00018544,0.00000000,0.00000000,0.03557365,0.19251503,-7.35
9,0.02493351,0.02467264,0.00026087,0.00026087,0.00000000,0.00000000,0.03429914,0.19251503,-7.50
10,0.02351480,0.02344087,0.00007392,0.00007392,0.00000000,0.00000000,0.03904406,0.19251503,-6.94
11,0.02284951,0.02279364,0.00005587,0.00005587,0.00000000,0.00000000,0.03222458,0.19251503,-7.78
12,0.02233807,0.02221387,0.00012420,0.00012420,0.00000000,0.00000000,0.03213981,0.19251503,-7.79
13,0.02069858,0.02058724,0.00011134,0.00011134,0.00000000,0.00000000,0.03331019,0.19251503,-7.63
14,0.01998208,0.01992384,0.00005824,0.00005824,0.00000000,0.00000000,0.02963830,0.19251503,-8.14
15,0.01950421,0.01944816,0.00005605,0.00005605,0.00000000,0.00000000,0.02870137,0.19251503,-8.29
16,0.01836287,0.01825809,0.00010478,0.00010478,0.00000000,0.00000000,0.03002086,0.19251503,-8.08
17,0.01805274,0.01797310,0.00007964,0.00007964,0.00000000,0.00000000,0.02841062,0.19251503,-8.33
18,0.01824369,0.01810834,0.00013535,0.00013535,0.00000000,0.00000000,0.02898880,0.19251503,-8.25
19,0.01664603,0.01653404,0.00011199,0.00011199,0.00000000,0.00000000,0.03205419,0.19251503,-7.80
20,0.01659641,0.01656318,0.00003323,0.00003323,0.00000000,0.00000000,0.02777690,0.19251503,-8.42
21,0.01707170,0.01703249,0.00003921,0.00003921,0.00000000,0.00000000,0.02756246,0.19251503,-8.50
22,0.01646284,0.01612752,0.00033532,0.00033532,0.00000000,0.00000000,0.02461360,0.19251503,-8.97
23,0.01504811,0.01492336,0.00012474,0.00012474,0.00000000,0.00000000,0.02452355,0.19251503,-8.96
24,0.01480615,0.01474553,0.00006062,0.00006062,0.00000000,0.00000000,0.02410016,0.19251503,-9.04
25,0.01419351,0.01413450,0.00005901,0.00005901,0.00000000,0.00000000,0.02691608,0.19251503,-8.56
26,0.01564064,0.01557790,0.00006274,0.00006274,0.00000000,0.00000000,0.02607927,0.19251503,-8.70
27,0.01350804,0.01344362,0.00006442,0.00006442,0.00000000,0.00000000,0.02352310,0.19251503,-9.16
28,0.01373116,0.01367593,0.00005523,0.00005523,0.00000000,0.00000000,0.02164475,0.19251503,-9.51
29,0.01373316,0.01361893,0.00011423,0.00011423,0.00000000,0.00000000,0.02168783,0.19251503,-9.50
30,0.01305585,0.01301312,0.00004274,0.00004274,0.00000000,0.00000000,0.02097210,0.19251503,-9.64
31,0.01297406,0.01277146,0.00020260,0.00020260,0.00000000,0.00000000,0.02128401,0.19251503,-9.59
32,0.01296083,0.01289256,0.00006827,0.00006827,0.00000000,0.00000000,0.02218778,0.19251503,-9.40
33,0.01271917,0.01267959,0.00003958,0.00003958,0.00000000,0.00000000,0.02352898,0.19251503,-9.15
34,0.01237015,0.01233507,0.00003508,0.00003508,0.00000000,0.00000000,0.03157080,0.19251503,-7.87
35,0.01102750,0.01099743,0.00003007,0.00003007,0.00000000,0.00000000,0.02130406,0.19251503,-9.58
36,0.01400750,0.01389030,0.00011720,0.00011720,0.00000000,0.00000000,0.02522551,0.19251503,-8.85
37,0.01241228,0.01226660,0.00014569,0.00014569,0.00000000,0.00000000,0.01991945,0.19251503,-9.89
38,0.01198980,0.01162912,0.00036069,0.00036069,0.00000000,0.00000000,0.02008172,0.19251503,-9.87
39,0.01055435,0.01041393,0.00014042,0.00014042,0.00000000,0.00000000,0.02002935,0.19251503,-9.85
40,0.01030066,0.01027482,0.00002585,0.00002585,0.00000000,0.00000000,0.02102700,0.19251503,-9.62
41,0.01006639,0.01005571,0.00001068,0.00001068,0.00000000,0.00000000,0.01859863,0.19251503,-10.16
42,0.00937235,0.00936064,0.00001171,0.00001171,0.00000000,0.00000000,0.02265065,0.19251503,-9.30
43,0.01039950,0.01036922,0.00003028,0.00003028,0.00000000,0.00000000,0.01872049,0.19251503,-10.14
44,0.00914803,0.00910276,0.00004527,0.00004527,0.00000000,0.00000000,0.01745960,0.19251503,-10.44
45,0.00905198,0.00902436,0.00002762,0.00002762,0.00000000,0.00000000,0.01903486,0.19251503,-10.07
46,0.00873230,0.00869743,0.00003487,0.00003487,0.00000000,0.00000000,0.01829644,0.19251503,-10.23
47,0.00833907,0.00831251,0.00002657,0.00002657,0.00000000,0.00000000,0.02182404,0.19251503,-9.47
48,0.00973684,0.00961547,0.00012137,0.00012137,0.00000000,0.00000000,0.01975167,0.19251503,-9.95
49,0.01089955,0.01011069,0.00078886,0.00078886,0.00000000,0.00000000,0.02207515,0.19251503,-9.46
50,0.00806255,0.00803224,0.00003031,0.00003031,0.00000000,0.00000000,0.01739661,0.19251503,-10.45
51,0.00736256,0.00735716,0.00000540,0.00000540,0.00000000,0.00000000,0.01825080,0.19251503,-10.24
52,0.00747811,0.00745996,0.00001815,0.00001815,0.00000000,0.00000000,0.01762471,0.19251503,-10.39
53,0.00713000,0.00711778,0.00001221,0.00001221,0.00000000,0.00000000,0.01872865,0.19251503,-10.13
54,0.00735376,0.00733178,0.00002199,0.00002199,0.00000000,0.00000000,0.01707621,0.19251503,-10.53
55,0.00733623,0.00732003,0.00001620,0.00001620,0.00000000,0.00000000,0.01722701,0.19251503,-10.50
56,0.00679033,0.00677744,0.00001289,0.00001289,0.00000000,0.00000000,0.01727490,0.19251503,-10.48
57,0.00700018,0.00694087,0.00005931,0.00005931,0.00000000,0.00000000,0.01616979,0.19251503,-10.77
58,0.00696854,0.00693307,0.00003547,0.00003547,0.00000000,0.00000000,0.01804109,0.19251503,-10.33
59,0.00685263,0.00681511,0.00003752,0.00003752,0.00000000,0.00000000,0.02141291,0.19251503,-9.55
60,0.00657201,0.00644325,0.00012876,0.00012876,0.00000000,0.00000000,0.02484017,0.19251503,-8.90
61,0.00613913,0.00604288,0.00009625,0.00009625,0.00000000,0.00000000,0.01949401,0.19251503,-9.96
62,0.00599836,0.00598326,0.00001510,0.00001510,0.00000000,0.00000000,0.01813705,0.19251503,-10.27
63,0.00650525,0.00648507,0.00002018,0.00002018,0.00000000,0.00000000,0.01663027,0.19251503,-10.65
64,0.00593632,0.00590668,0.00002963,0.00002963,0.00000000,0.00000000,0.01842410,0.19251503,-10.20
65,0.00644303,0.00612210,0.00032093,0.00032093,0.00000000,0.00000000,0.01644567,0.19251503,-10.71
66,0.00670812,0.00655213,0.00015599,0.00015599,0.00000000,0.00000000,0.01937365,0.19251503,-9.99
67,0.00716676,0.00714671,0.00002005,0.00002005,0.00000000,0.00000000,0.01638727,0.19251503,-10.71
68,0.00613399,0.00612409,0.00000990,0.00000990,0.00000000,0.00000000,0.01913926,0.19251503,-10.03
69,0.00600173,0.00598320,0.00001853,0.00001853,0.00000000,0.00000000,0.01768101,0.19251503,-10.38
70,0.00536343,0.00528370,0.00007973,0.00007973,0.00000000,0.00000000,0.01669739,0.19251503,-10.65
