ts,run_kind,stage,status,algorithm,source,noise_label,L,mu,conv_ms,sse_db,exec_time_s,in_power,out_power,save_path,message
2026-01-02 12:33:23,,simulate,ok,FxLMS,WAV,airplaneinterior.wav,64,0.1,110.02,-200.0,,187.242,0.0,,
2026-01-02 12:33:24,,simulate,ok,FxLMS,WAV,airplaneinterior.wav,64,0.05500000000000001,256.08,-200.0,,187.242,0.0,,
2026-01-02 12:33:25,,simulate,ok,FxLMS,WAV,airplaneinterior.wav,160,0.05500000000000001,110.02,-200.0,,187.242,0.0,,
2026-01-02 12:33:27,,simulate,ok,FxLMS,WAV,airplaneinterior.wav,160,0.1,110.02,-200.0,,187.242,0.0,,
2026-01-02 12:33:38,,simulate,ok,FxLMS,WAV,airplaneinterior.wav,64,0.01,110.02,-24.14,,187.242,40.89,,
2026-01-02 12:33:39,,simulate,ok,FxNLMS,WAV,airplaneinterior.wav,64,0.1,110.02,-20.82,,187.242,53.662,,
2026-01-02 12:33:39,,simulate,ok,FxNLMS,WAV,airplaneinterior.wav,64,0.01,110.02,-17.34,,187.242,118.81,,
2026-01-02 12:33:39,,simulate,ok,FxNLMS,WAV,airplaneinterior.wav,160,0.01,110.02,-20.45,,187.242,53.852,,
2026-01-02 12:33:40,,simulate,ok,FxLMS,WAV,airplaneinterior.wav,160,0.01,110.02,-26.43,,187.242,10.714,,
2026-01-02 12:33:40,,simulate,ok,FxNLMS,WAV,airplaneinterior.wav,64,0.05500000000000001,110.02,-19.99,,187.242,75.161,,
2026-01-02 12:33:41,,simulate,ok,FxLMS,WAV,airplaneinterior.wav,256,0.05500000000000001,110.02,-200.0,,187.242,0.0,,
2026-01-02 12:33:41,,simulate,ok,FxLMS,WAV,airplaneinterior.wav,256,0.1,110.02,-200.0,,187.242,0.0,,
2026-01-02 12:33:43,,simulate,ok,FxNLMS,WAV,airplaneinterior.wav,160,0.05500000000000001,110.02,-21.23,,187.242,33.961,,
2026-01-02 12:33:45,,simulate,ok,FxNLMS,WAV,airplaneinterior.wav,160,0.1,110.02,-22.18,,187.242,23.539,,
2026-01-02 12:33:55,,simulate,ok,FxLMS,WAV,airplaneinterior.wav,256,0.01,110.02,-29.16,,187.242,5.926,,
2026-01-02 12:33:57,,simulate,ok,FxNLMS,WAV,airplaneinterior.wav,256,0.01,158.81,-22.83,,187.242,34.276,,
2026-01-02 12:33:57,,simulate,ok,FxNLMS,WAV,airplaneinterior.wav,256,0.05500000000000001,178.25,-24.02,,187.242,19.429,,
2026-01-02 12:33:58,,simulate,ok,FxNLMS,WAV,airplaneinterior.wav,256,0.1,176.75,-24.65,,187.242,13.86,,
2026-01-02 12:35:08,,save,ok,FxLMS,WAV,airplaneinterior.wav,64,0.01,110.02,-24.14,12.73,187.242,40.89,C:\Users\plela\OneDrive\Documents\University\ANC-with-NN\results\FxLMS\airplaneinteriorwav\L64_mu0.01,
2026-01-02 12:36:33,,save,ok,FxNLMS,WAV,airplaneinterior.wav,64,0.01,110.02,-17.34,12.87,187.242,118.81,C:\Users\plela\OneDrive\Documents\University\ANC-with-NN\results\FxNLMS\airplaneinteriorwav\L64_mu0.01,
2026-01-02 12:36:35,,save,diverged,FxLMS,WAV,airplaneinterior.wav,64,0.05500000000000001,256.08,-200.0,1.28,187.242,0.0,C:\Users\plela\OneDrive\Documents\University\ANC-with-NN\results\FxLMS\airplaneinteriorwav\L64_mu0.055,
2026-01-02 12:37:17,,save,ok,FxNLMS,WAV,airplaneinterior.wav,64,0.05500000000000001,110.02,-19.99,13.7,187.242,75.161,C:\Users\plela\OneDrive\Documents\University\ANC-with-NN\results\FxNLMS\airplaneinteriorwav\L64_mu0.055,
2026-01-02 12:37:19,,save,diverged,FxLMS,WAV,airplaneinterior.wav,64,0.1,110.02,-200.0,0.98,187.242,0.0,C:\Users\plela\OneDrive\Documents\University\ANC-with-NN\results\FxLMS\airplaneinteriorwav\L64_mu0.1,
2026-01-02 12:37:59,,save,ok,FxNLMS,WAV,airplaneinterior.wav,64,0.1,110.02,-20.82,13.07,187.242,53.662,C:\Users\plela\OneDrive\Documents\University\ANC-with-NN\results\FxNLMS\airplaneinteriorwav\L64_mu0.1,
2026-01-02 12:38:41,,save,ok,FxLMS,WAV,airplaneinterior.wav,160,0.01,110.02,-26.43,12.49,187.242,10.714,C:\Users\plela\OneDrive\Documents\University\ANC-with-NN\results\FxLMS\airplaneinteriorwav\L160_mu0.01,
2026-01-02 12:39:25,,save,ok,FxNLMS,WAV,airplaneinterior.wav,160,0.01,110.02,-20.45,13.54,187.242,53.852,C:\Users\plela\OneDrive\Documents\University\ANC-with-NN\results\FxNLMS\airplaneinteriorwav\L160_mu0.01,
2026-01-02 12:39:26,,save,diverged,FxLMS,WAV,airplaneinterior.wav,160,0.05500000000000001,110.02,-200.0,0.95,187.242,0.0,C:\Users\plela\OneDrive\Documents\University\ANC-with-NN\results\FxLMS\airplaneinteriorwav\L160_mu0.055,
2026-01-02 12:40:08,,save,ok,FxNLMS,WAV,airplaneinterior.wav,160,0.05500000000000001,110.02,-21.23,13.47,187.242,33.961,C:\Users\plela\OneDrive\Documents\University\ANC-with-NN\results\FxNLMS\airplaneinteriorwav\L160_mu0.055,
2026-01-02 12:40:10,,save,diverged,FxLMS,WAV,airplaneinterior.wav,160,0.1,110.02,-200.0,0.84,187.242,0.0,C:\Users\plela\OneDrive\Documents\University\ANC-with-NN\results\FxLMS\airplaneinteriorwav\L160_mu0.1,
2026-01-02 12:40:51,,save,ok,FxNLMS,WAV,airplaneinterior.wav,160,0.1,110.02,-22.18,13.71,187.242,23.539,C:\Users\plela\OneDrive\Documents\University\ANC-with-NN\results\FxNLMS\airplaneinteriorwav\L160_mu0.1,
2026-01-02 12:41:32,,save,ok,FxLMS,WAV,airplaneinterior.wav,256,0.01,110.02,-29.16,12.99,187.242,5.926,C:\Users\plela\OneDrive\Documents\University\ANC-with-NN\results\FxLMS\airplaneinteriorwav\L256_mu0.01,
2026-01-02 12:42:13,,save,ok,FxNLMS,WAV,airplaneinterior.wav,256,0.01,158.81,-22.83,13.66,187.242,34.276,C:\Users\plela\OneDrive\Documents\University\ANC-with-NN\results\FxNLMS\airplaneinteriorwav\L256_mu0.01,
2026-01-02 12:42:15,,save,diverged,FxLMS,WAV,airplaneinterior.wav,256,0.05500000000000001,110.02,-200.0,0.84,187.242,0.0,C:\Users\plela\OneDrive\Documents\University\ANC-with-NN\results\FxLMS\airplaneinteriorwav\L256_mu0.055,
2026-01-02 12:42:55,,save,ok,FxNLMS,WAV,airplaneinterior.wav,256,0.05500000000000001,178.25,-24.02,12.81,187.242,19.429,C:\Users\plela\OneDrive\Documents\University\ANC-with-NN\results\FxNLMS\airplaneinteriorwav\L256_mu0.055,
2026-01-02 12:42:57,,save,diverged,FxLMS,WAV,airplaneinterior.wav,256,0.1,110.02,-200.0,0.87,187.242,0.0,C:\Users\plela\OneDrive\Documents\University\ANC-with-NN\results\FxLMS\airplaneinteriorwav\L256_mu0.1,
2026-01-02 12:43:36,,save,ok,FxNLMS,WAV,airplaneinterior.wav,256,0.1,176.75,-24.65,13.07,187.242,13.86,C:\Users\plela\OneDrive\Documents\University\ANC-with-NN\results\FxNLMS\airplaneinteriorwav\L256_mu0.1,
